Feature Category,Strategic Segment,Demand Level,Quality Severity (0-100),Merchant Impact (0-100),Business Priority (0-100),Priority Level (1-5),Action Timeline,Current Avg Rating,Quality 95% CI Lower,Quality 95% CI Upper,Total Reviews (Market Size),Reviews Per App,# of Apps,Est. Merchants Affected,Predicted Churn %,Quality vs Median,Ecosystem Median Rating,% Apps with 4.5+ Stars,% Apps Below 3.0?,Statistically Significant?,What's the Problem?,What Should Shopify Do?,Data Confidence
Shipping,"Low Demand, Quality Gap",Low,39,43,41,4,LOW: Monitor in 2026,4.286,4.182,4.39,60041,129,465,8574,1.2,-0.359,4.65,69,13.3,TRUE,Low merchant demand (60K reviews vs median 127K) and quality (4.286? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Order tracking,"Low Demand, Quality Gap",Low,27,47,39,4,LOW: Monitor in 2026,4.398,4.29,4.506,110595,432,256,13316,1.6,-0.247,4.65,68.8,7.8,TRUE,Low merchant demand (111K reviews vs median 127K) and quality (4.398? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Order sync,"Low Demand, Quality Gap",Low,25,45,37,4,LOW: Monitor in 2026,4.418,4.308,4.528,104298,409,255,12140,0.9,-0.227,4.65,67.8,6.7,TRUE,Low merchant demand (104K reviews vs median 127K) and quality (4.418? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Shipping rates,"Low Demand, Quality Gap",Low,35,34,34,4,LOW: Monitor in 2026,4.323,4.215,4.431,47056,123,383,6371,0,-0.322,4.65,68.4,10.7,TRUE,Low merchant demand (47K reviews vs median 127K) and quality (4.323? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Order updates,"Low Demand, Quality Gap",Low,18,36,29,4,LOW: Monitor in 2026,4.514,4.416,4.612,70022,239,293,6806,0,-0.131,4.65,76.5,6.5,TRUE,Low merchant demand (70K reviews vs median 127K) and quality (4.514? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Real-time tracking,"Low Demand, Quality Gap",Low,16,38,29,4,LOW: Monitor in 2026,4.536,4.44,4.632,79106,280,283,7341,0,-0.109,4.65,76.7,5.7,TRUE,Low merchant demand (79K reviews vs median 127K) and quality (4.536? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Shipping solutions - Other,"Low Demand, Quality Gap",Low,48,8,24,4,LOW: Monitor in 2026,4.197,3.993,4.401,2740,19,141,440,0.1,-0.448,4.65,67.4,16.3,TRUE,Low merchant demand (3K reviews vs median 127K) and quality (4.197? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Abandoned cart,"Low Demand, Quality Gap",Low,8,44,24,4,LOW: Monitor in 2026,4.595,4.497,4.693,110787,488,227,8974,0,-0.05,4.65,80.2,4.8,FALSE,Low merchant demand (111K reviews vs median 127K) and quality (4.595? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Delivery and pickup,"Low Demand, Quality Gap",Low,30,16,22,4,LOW: Monitor in 2026,4.375,4.232,4.518,15735,74,213,1967,0,-0.27,4.65,74.2,10.3,TRUE,Low merchant demand (16K reviews vs median 127K) and quality (4.375? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Product variants,"Low Demand, Quality Gap",Low,21,21,21,4,LOW: Monitor in 2026,4.48,4.355,4.605,37430,192,195,3893,0,-0.165,4.65,74.9,7.2,TRUE,Low merchant demand (37K reviews vs median 127K) and quality (4.480? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Email notifications,"Low Demand, Quality Gap",Low,6,38,21,4,LOW: Monitor in 2026,4.627,4.553,4.701,71757,210,342,5353,0,-0.018,4.65,81.6,4.1,FALSE,Low merchant demand (72K reviews vs median 127K) and quality (4.627? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Variants,"Low Demand, Quality Gap",Low,15,23,20,4,LOW: Monitor in 2026,4.547,4.457,4.637,37798,157,241,3424,0,-0.098,4.65,75.5,5,TRUE,Low merchant demand (38K reviews vs median 127K) and quality (4.547? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Cart customization,"Low Demand, Quality Gap",Low,9,20,13,4,LOW: Monitor in 2026,4.581,4.483,4.679,27775,121,230,2328,0,-0.064,4.65,78.7,5.2,FALSE,Low merchant demand (28K reviews vs median 127K) and quality (4.581? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Chat,"Low Demand, Quality Gap",Low,8,19,13,4,LOW: Monitor in 2026,4.59,4.478,4.702,28894,135,214,2369,0,-0.055,4.65,81.3,5.1,FALSE,Low merchant demand (29K reviews vs median 127K) and quality (4.590? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Workflow automation,"Low Demand, Quality Gap",Low,10,14,11,4,LOW: Monitor in 2026,4.566,4.456,4.676,14980,80,188,1300,0,-0.079,4.65,77.7,5.3,FALSE,Low merchant demand (15K reviews vs median 127K) and quality (4.566? vs median 4.645?). Suggest monitoring for demand trends before prioritizing.,Continue monitoring category performance. Include in quarterly ecosystem review.,1
Templates,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.697,4.654,4.74,303039,613,494,18364,6.4,0.052,4.65,84,1.6,TRUE,Very high merchant demand (303K reviews) with quality at 4.697? (above median 4.645?). 84.0% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Bulk editing,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.671,4.608,4.734,122322,423,289,8049,0,0.026,4.65,83,2.8,FALSE,High quality (4.671?) with limited adoption (122K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
Color and font,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.742,4.681,4.803,68947,250,276,3558,0,0.097,4.65,87.3,1.4,TRUE,High quality (4.742?) with limited adoption (69K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
Conversion tracking,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.751,4.71,4.792,172263,604,285,8579,0,0.106,4.65,85.3,0.4,TRUE,High merchant demand (172K reviews) with good quality (4.751?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Custom code,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.709,4.652,4.766,155552,574,271,9053,0,0.064,4.65,84.9,0.7,TRUE,High merchant demand (156K reviews) with good quality (4.709?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Custom CSS,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.729,4.682,4.776,189716,405,469,10283,0.6,0.084,4.65,88.1,2.1,TRUE,High merchant demand (190K reviews) with good quality (4.729?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Custom rules,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.687,4.63,4.744,80400,190,423,5033,0,0.042,4.65,83.2,3.1,FALSE,High quality (4.687?) with limited adoption (80K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
Custom text,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.752,4.693,4.811,87042,339,257,4317,0,0.107,4.65,88.7,0.8,TRUE,High quality (4.752?) with limited adoption (87K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
Editor tool,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.648,4.587,4.709,250649,727,345,17646,3.9,0.003,4.65,80.9,2.6,FALSE,Very high merchant demand (251K reviews) with quality at 4.648? (above median 4.645?). 80.9% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Free shipping,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.771,4.724,4.818,170563,502,340,7812,0,0.126,4.65,87.1,1.5,TRUE,High merchant demand (171K reviews) with good quality (4.771?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Import and export,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.663,4.606,4.72,303829,815,373,20478,6.5,0.018,4.65,82.6,3.2,FALSE,Very high merchant demand (304K reviews) with quality at 4.663? (above median 4.645?). 82.6% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Mobile responsive,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.739,4.692,4.786,149211,294,508,7789,0,0.094,4.65,87.2,1.8,TRUE,High merchant demand (149K reviews) with good quality (4.739?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Multi-currency,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.757,4.71,4.804,94658,278,341,4600,0,0.112,4.65,88.3,1.2,TRUE,High quality (4.757?) with limited adoption (95K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
Multi-language,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.77,4.739,4.801,297552,403,739,13687,5.8,0.125,4.65,88.9,1.2,TRUE,Very high merchant demand (298K reviews) with quality at 4.770? (above median 4.645?). 88.9% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Percentage discounts,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.798,4.757,4.839,95091,334,285,3842,0,0.153,4.65,87.4,0.7,TRUE,High quality (4.798?) with limited adoption (95K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
Pop-ups,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.661,4.612,4.71,387429,617,628,26268,10.7,0.016,4.65,84.7,3,FALSE,Very high merchant demand (387K reviews) with quality at 4.661? (above median 4.645?). 84.7% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Product recommendations,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.756,4.709,4.803,144507,378,382,7052,0,0.111,4.65,87.7,1.6,TRUE,High merchant demand (145K reviews) with good quality (4.756?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Reporting,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.682,4.621,4.743,223353,890,251,14205,2.4,0.037,4.65,84.1,1.2,FALSE,Very high merchant demand (223K reviews) with quality at 4.682? (above median 4.645?). 84.1% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Segmentation,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.681,4.614,4.748,185095,649,285,11809,0.5,0.036,4.65,84.6,2.5,FALSE,High merchant demand (185K reviews) with good quality (4.681?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Tagging,"High Demand, Good Quality",High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.664,4.601,4.727,147519,525,281,9913,0,0.019,4.65,81.5,2.8,FALSE,High merchant demand (148K reviews) with good quality (4.664?). Stable category meeting merchant needs.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
A/B testing,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.725,4.67,4.78,305103,1059,288,16781,6.4,0.08,4.65,87.2,1.7,TRUE,Very high merchant demand (305K reviews) with quality at 4.725? (above median 4.645?). 87.2% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Tracking,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.677,4.612,4.742,244657,827,296,15805,3.5,0.032,4.65,82.8,2.7,FALSE,Very high merchant demand (245K reviews) with quality at 4.677? (above median 4.645?). 82.8% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Triggers and rules,Meeting Expectations,Very High,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.713,4.656,4.77,200770,674,298,11524,1.2,0.068,4.65,84.9,2,TRUE,Very high merchant demand (201K reviews) with quality at 4.713? (above median 4.645?). 84.9% of apps rated 4.5?+. Consider highlighting as best practice.,"Maintain quality standards. Feature top apps in merchant onboarding, develop case studies, create educational resources. Monitor for quality changes.",1
Upsell and cross-sell,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.681,4.618,4.744,89952,198,455,5739,0,0.036,4.65,85.1,3.7,FALSE,High quality (4.681?) with limited adoption (90K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
Volume discounts,Underutilized Quality,Low,0,0,0,5,MAINTAIN: Quality meets ecosystem standards,4.802,4.759,4.845,104686,438,239,4146,0,0.157,4.65,90,0.4,TRUE,High quality (4.802?) with limited adoption (105K reviews vs median 127K). Opportunity to increase merchant awareness through marketing.,"Increase visibility through App Store featuring, targeted merchant communications, and onboarding optimization. Quality is strong - focus on demand generation.",1
